instance,method,goals_visited,path_length,num_points,runtime,valid
instance_027,annealing,0,0.0,0,0.0032,0
instance_028,greedy,8,1879.138,10,0.0022,1
instance_026,beam,10,1982.2,12,0.0104,1
instance_028,local,8,1879.138,10,0.0019,1
instance_028,hybrid,8,1879.138,10,0.002,1
instance_029,greedy,8,1977.694,10,0.0033,1
instance_027,beam,11,1992.923,13,0.0143,1
instance_029,local,8,1968.218,10,0.0032,1
instance_029,annealing,0,0.0,0,0.0047,0
instance_028,annealing,0,0.0,0,0.0102,0
instance_030,greedy,9,1739.452,11,0.0019,1
instance_029,hybrid,8,1968.218,10,0.0043,1
instance_030,local,9,1739.452,11,0.0027,1
instance_030,hybrid,9,1739.452,11,0.0034,1
instance_029,beam,8,1879.631,10,0.0127,1
instance_031,greedy,0,567.145,2,0.0024,1
instance_030,annealing,0,0.0,0,0.0128,0
instance_031,local,0,567.145,2,0.0048,1
instance_031,hybrid,0,567.145,2,0.0031,1
instance_028,beam,8,1999.24,10,0.0304,1
instance_030,beam,10,1861.349,12,0.0239,1
instance_032,beam,9,1906.34,11,0.0089,1
instance_032,hybrid,7,1925.258,9,0.002,1
instance_032,annealing,0,0.0,0,0.0098,0
instance_032,local,7,1925.258,9,0.0047,1
instance_031,beam,13,1918.606,15,0.0239,1
instance_033,greedy,0,198.879,2,0.0015,1
instance_032,greedy,7,1925.258,9,0.0148,1
instance_031,annealing,0,0.0,0,0.0211,0
instance_033,local,0,198.879,2,0.0015,1
instance_033,annealing,0,0.0,0,0.0021,0
instance_033,hybrid,0,198.879,2,0.0027,1
instance_034,greedy,6,1992.197,8,0.0016,1
instance_034,local,6,1992.197,8,0.001,1
instance_034,annealing,0,0.0,0,0.0017,0
instance_035,greedy,9,1954.99,11,0.0015,1
instance_035,local,9,1954.99,11,0.0023,1
instance_034,hybrid,6,1992.197,8,0.0058,1
instance_034,beam,8,1694.481,10,0.0107,1
instance_036,greedy,0,153.17,2,0.0002,1
instance_035,annealing,0,0.0,0,0.0105,0
instance_036,beam,8,1799.804,10,0.0018,1
instance_033,beam,8,1967.985,10,0.0187,1
instance_036,annealing,0,0.0,0,0.0002,0
instance_036,hybrid,0,153.17,2,0.0002,1
instance_037,greedy,0,107.935,2,0.0006,1
instance_035,hybrid,9,1954.99,11,0.005,1
instance_037,annealing,0,0.0,0,0.0006,0
instance_035,beam,11,1968.911,13,0.0137,1
instance_036,local,0,153.17,2,0.0021,1
instance_037,beam,0,107.935,2,0.003,1
instance_037,hybrid,0,107.935,2,0.0006,1
instance_037,local,0,107.935,2,0.0011,1
instance_038,greedy,11,1430.928,13,0.0033,1
instance_039,greedy,5,1122.612,7,0.0003,1
instance_039,beam,5,1082.74,7,0.0012,1
instance_038,local,11,1430.928,13,0.0063,1
instance_039,annealing,0,0.0,0,0.0028,0
instance_039,local,5,1082.74,7,0.0015,1
instance_039,hybrid,5,1082.74,7,0.0015,1
instance_038,hybrid,11,1430.928,13,0.0083,1
instance_040,annealing,0,0.0,0,0.0022,0
instance_040,greedy,6,1521.533,8,0.0058,1
instance_040,beam,6,1521.533,8,0.0068,1
instance_038,beam,12,1484.662,14,0.0162,1
instance_040,local,6,1498.504,8,0.0085,1
instance_024,annealing,7,1641.982,8,0.1047,0
instance_041,greedy,6,1997.188,8,0.0003,1
instance_041,local,6,1893.954,8,0.0014,1
instance_041,beam,7,1725.729,9,0.0028,1
instance_041,hybrid,6,1893.954,8,0.0013,1
instance_042,greedy,5,1603.022,7,0.0008,1
instance_042,beam,7,1726.739,9,0.002,1
instance_040,hybrid,6,1498.504,8,0.0017,1
instance_042,local,5,1598.72,7,0.0008,1
instance_043,greedy,0,302.617,2,0.0002,1
instance_042,hybrid,5,1598.72,7,0.0009,1
instance_043,annealing,0,0.0,0,0.0005,0
instance_043,local,0,302.617,2,0.0002,1
instance_043,hybrid,0,302.617,2,0.0002,1
instance_043,beam,6,1387.734,8,0.0045,1
instance_044,annealing,0,0.0,0,0.0011,0
instance_044,local,0,1107.522,2,0.0009,1
instance_044,hybrid,0,1107.522,2,0.0009,1
instance_044,greedy,0,1107.522,2,0.0068,1
instance_045,greedy,11,1926.338,13,0.0057,1
instance_044,beam,9,1997.676,11,0.0166,1
instance_045,beam,11,1889.068,13,0.0106,1
instance_045,hybrid,11,1923.693,13,0.0053,1
instance_045,local,11,1923.693,13,0.0176,1
instance_046,greedy,9,1971.029,11,0.0081,1
instance_046,annealing,0,0.0,0,0.0067,0
instance_046,beam,9,1971.029,11,0.0169,1
instance_046,local,9,1949.523,11,0.0119,1
instance_047,greedy,8,1246.664,10,0.0008,1
instance_046,hybrid,9,1949.523,11,0.0074,1
instance_047,beam,9,1967.454,11,0.0043,1
instance_025,annealing,8,1956.24,10,0.1672,1
instance_047,local,8,1006.947,10,0.0108,1
instance_048,greedy,6,1991.687,8,0.0009,1
instance_047,hybrid,8,1006.947,10,0.0153,1
instance_048,annealing,0,0.0,0,0.0027,0
instance_048,local,6,1991.687,8,0.0009,1
instance_048,hybrid,6,1991.687,8,0.0087,1
instance_049,greedy,0,158.644,2,0.0032,1
instance_049,annealing,0,0.0,0,0.0025,0
instance_048,beam,10,1894.852,12,0.0198,1
instance_049,local,0,158.644,2,0.001,1
instance_050,greedy,4,1136.627,6,0.0007,1
instance_049,hybrid,0,158.644,2,0.0018,1
instance_050,beam,4,1136.627,6,0.0009,1
instance_050,annealing,0,0.0,0,0.0007,0
instance_050,local,4,1121.72,6,0.0006,1
instance_050,hybrid,4,1121.72,6,0.0007,1
instance_049,beam,0,158.644,2,0.0092,1
instance_051,greedy,4,1742.371,6,0.0003,1
instance_051,beam,9,1920.856,11,0.0056,1
instance_051,local,4,1730.003,6,0.0005,1
instance_051,hybrid,4,1730.003,6,0.0004,1
instance_052,greedy,0,601.332,2,0.0003,1
instance_052,beam,7,1963.797,9,0.002,1
instance_052,local,0,601.332,2,0.0003,1
instance_052,hybrid,0,601.332,2,0.0004,1
instance_051,annealing,0,0.0,0,0.0137,0
instance_053,greedy,14,1983.005,16,0.0202,1
instance_041,annealing,7,1518.32,8,0.1403,0
instance_053,local,14,1983.005,16,0.0076,1
instance_053,hybrid,14,1983.005,16,0.012,1
instance_054,greedy,7,1991.428,9,0.0012,1
instance_054,beam,12,1969.64,14,0.0078,1
instance_042,annealing,8,1854.597,9,0.1798,0
instance_054,local,7,1903.976,9,0.0012,1
instance_054,hybrid,7,1903.976,9,0.0013,1
instance_055,greedy,0,817.27,2,0.0009,1
instance_053,beam,14,1983.005,16,0.0715,1
instance_055,annealing,0,0.0,0,0.0015,0
instance_055,local,0,817.27,2,0.001,1
instance_055,hybrid,0,817.27,2,0.0021,1
instance_056,greedy,0,558.624,2,0.0065,1
instance_055,beam,13,1972.981,15,0.0218,1
instance_056,beam,0,558.624,2,0.0174,1
instance_056,local,0,558.624,2,0.0011,1
instance_056,hybrid,0,558.624,2,0.001,1
instance_057,greedy,5,1972.912,7,0.0003,1
instance_057,beam,8,1683.271,10,0.0025,1
instance_057,annealing,0,0.0,0,0.0069,0
instance_057,local,5,1972.912,7,0.0003,1
instance_057,hybrid,5,1972.912,7,0.0004,1
instance_058,greedy,0,503.589,2,0.0039,1
instance_047,annealing,8,1246.664,10,0.2164,1
instance_058,annealing,0,0.0,0,0.0023,0
instance_058,local,0,503.589,2,0.0025,1
instance_038,annealing,12,1534.444,14,0.3004,1
instance_059,greedy,0,697.573,2,0.001,1
instance_058,hybrid,0,503.589,2,0.0025,1
instance_059,annealing,0,0.0,0,0.0013,0
instance_059,local,0,697.573,2,0.0013,1
instance_059,hybrid,0,697.573,2,0.001,1
instance_060,greedy,0,512.665,2,0.001,1
instance_059,beam,11,1919.336,13,0.025,1
instance_060,annealing,0,0.0,0,0.0012,0
instance_060,beam,11,1802.727,13,0.0211,1
instance_060,local,0,512.665,2,0.0011,1
instance_060,hybrid,0,512.665,2,0.0011,1
instance_061,greedy,11,1939.082,13,0.0023,1
instance_058,beam,15,1998.34,17,0.0722,1
instance_061,local,11,1939.082,13,0.0046,1
instance_061,hybrid,11,1939.082,13,0.0037,1
instance_062,greedy,8,1943.417,10,0.0016,1
instance_061,beam,11,1939.082,13,0.0211,1
instance_062,beam,9,1896.353,11,0.0088,1
instance_062,local,8,1943.417,10,0.0016,1
instance_062,hybrid,8,1943.417,10,0.0017,1
instance_063,greedy,3,1928.173,5,0.0005,1
instance_063,beam,6,1966.397,8,0.0045,1
instance_052,annealing,13,1912.747,14,0.245,0
instance_063,local,3,1867.615,5,0.0007,1
instance_063,hybrid,3,1867.615,5,0.0007,1
instance_064,greedy,2,1508.103,4,0.0001,1
instance_064,beam,2,1498.746,4,0.0003,1
instance_064,annealing,0,0.0,0,0.0002,0
instance_064,local,2,1508.103,4,0.0001,1
instance_064,hybrid,2,1508.103,4,0.0001,1
instance_065,greedy,2,1610.509,4,0.0001,1
instance_065,beam,2,1610.509,4,0.0002,1
instance_065,annealing,0,0.0,0,0.0013,0
instance_065,local,2,1610.509,4,0.0002,1
instance_065,hybrid,2,1610.509,4,0.0001,1
instance_066,greedy,2,1646.276,4,0.0001,1
instance_066,beam,2,1317.6,4,0.0031,1
instance_066,annealing,0,0.0,0,0.0052,0
instance_066,local,2,1646.276,4,0.0001,1
instance_066,hybrid,2,1646.276,4,0.0001,1
instance_067,greedy,2,1398.75,4,0.0001,1
